Name,Symbol,Market Cap (USD),Price (USD),Circulating Supply (USD),Volume (24h),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,"$1,078,728,639,856","$57,670.86","18,704,918 BTC","$67,665,568,320",0.53%,-0.98%,1.92%
Ethereum,ETH,"$453,788,416,658","$3,918.57","115,804,721 ETH","$54,916,755,371",2.24%,4.95%,33.73%
Binance Coin,BNB,"$101,351,255,052",$660.56,"153,432,897 BNB *","$4,556,938,165",-0.81%,1.40%,6.38%
Dogecoin,DOGE,"$64,268,332,868",$0.4962,"129,531,248,765 DOGE","$40,178,872,610",-0.15%,-26.11%,29.94%
Cardano,ADA,"$57,248,080,132",$1.79,"31,948,309,441 ADA","$7,342,403,158",-0.08%,12.17%,34.55%
Tether,USDT,"$55,547,575,460",$1.00,"55,536,494,298 USDT *","$181,031,389,551",0.02%,0.00%,0.01%
XRP,XRP,"$52,950,441,667",$1.51,"35,108,326,973 XRP *","$8,123,602,618",-0.04%,-3.60%,-3.95%
Polkadot,DOT,"$37,335,794,669",$39.87,"936,453,939 DOT *","$2,158,367,397",0.35%,1.12%,10.18%
Bitcoin Cash,BCH,"$25,119,550,375","$1,340.98","18,732,181 BCH","$5,924,233,930",0.72%,-1.37%,37.49%
Litecoin,LTC,"$24,233,374,379",$363.03,"66,752,415 LTC","$8,406,736,121",0.43%,6.62%,35.29%
Chainlink,LINK,"$21,423,254,772",$51.13,"419,009,556 LINK *","$2,775,223,610",0.05%,6.67%,30.55%
Uniswap,UNI,"$20,609,831,806",$39.38,"523,384,244 UNI *","$764,693,343",1.03%,-3.72%,-6.87%
VeChain,VET,"$14,882,364,687",$0.2314,"64,315,576,989 VET *","$2,071,263,362",4.58%,2.61%,9.13%
USD Coin,USDC,"$14,377,355,690",$0.9998,"14,380,157,844 USDC *","$2,761,139,184",-0.03%,-0.03%,-0.04%
Stellar,XLM,"$14,125,801,977",$0.6125,"23,061,608,389 XLM *","$1,822,894,230",1.85%,-1.63%,15.76%
Ethereum Classic,ETC,"$13,898,259,524",$119.49,"116,313,299 ETC","$18,048,009,347",0.94%,3.69%,167.06%
THETA,THETA,"$12,055,696,858",$12.06,"1,000,000,000 THETA *","$562,714,820",-0.10%,-1.58%,9.88%
Solana,SOL,"$12,034,742,155",$44.14,"272,637,428 SOL *","$553,255,254",0.79%,-1.25%,-5.88%
Filecoin,FIL,"$10,150,498,330",$144.77,"70,112,349 FIL","$1,086,229,886",0.56%,-2.14%,-8.39%
TRON,TRX,"$10,140,724,580",$0.1415,"71,659,657,369 TRX *","$3,315,650,928",1.73%,-2.64%,11.02%
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
